Yahoo_Ticker,Code,銘柄名,Type,市場・商品区分,33業種区分,規模区分
7955.T,7955,クリナップ,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7956.T,7956,ピジョン,Stock,プライム（内国株式）,その他製品,TOPIX Mid400
7962.T,7962,キングジム,Stock,プライム（内国株式）,その他製品,TOPIX Small 2
7965.T,7965,象印マホービン,Stock,プライム（内国株式）,電気機器,TOPIX Small 1
7966.T,7966,リンテック,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7970.T,7970,信越ポリマー,Stock,プライム（内国株式）,化学,TOPIX Small 1
7972.T,7972,イトーキ,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7974.T,7974,任天堂,Stock,プライム（内国株式）,その他製品,TOPIX Core30
7976.T,7976,三菱鉛筆,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7979.T,7979,松風,Stock,プライム（内国株式）,精密機器,TOPIX Small 2
7981.T,7981,タカラスタンダード,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7984.T,7984,コクヨ,Stock,プライム（内国株式）,その他製品,TOPIX Mid400
7987.T,7987,ナカバヤシ,Stock,スタンダード（内国株式）,その他製品,TOPIX Small 2
7988.T,7988,ニフコ,Stock,プライム（内国株式）,化学,TOPIX Mid400
7989.T,7989,立川ブラインド工業,Stock,プライム（内国株式）,金属製品,TOPIX Small 2
7990.T,7990,グローブライド,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7994.T,7994,オカムラ,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
7995.T,7995,バルカー,Stock,プライム（内国株式）,化学,TOPIX Small 1
8001.T,8001,伊藤忠商事,Stock,プライム（内国株式）,卸売業,TOPIX Core30
8002.T,8002,丸紅,Stock,プライム（内国株式）,卸売業,TOPIX Large70
8005.T,8005,スクロール,Stock,プライム（内国株式）,小売業,TOPIX Small 2
8008.T,8008,ヨンドシーホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8011.T,8011,三陽商会,Stock,プライム（内国株式）,繊維製品,TOPIX Small 2
8012.T,8012,長瀬産業,Stock,プライム（内国株式）,卸売業,TOPIX Mid400
8014.T,8014,蝶理,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8015.T,8015,豊田通商,Stock,プライム（内国株式）,卸売業,TOPIX Large70
8016.T,8016,オンワードホールディングス,Stock,プライム（内国株式）,繊維製品,TOPIX Small 1
8018.T,8018,三共生興,Stock,スタンダード（内国株式）,卸売業,TOPIX Small 2
8020.T,8020,兼松,Stock,プライム（内国株式）,卸売業,TOPIX Mid400
8022.T,8022,美津濃,Stock,プライム（内国株式）,その他製品,TOPIX Small 1
8029.T,8029,ルックホールディングス,Stock,スタンダード（内国株式）,繊維製品,TOPIX Small 2
8031.T,8031,三井物産,Stock,プライム（内国株式）,卸売業,TOPIX Core30
8032.T,8032,日本紙パルプ商事,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8035.T,8035,東京エレクトロン,Stock,プライム（内国株式）,電気機器,TOPIX Core30
8037.T,8037,カメイ,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8043.T,8043,スターゼン,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8050.T,8050,セイコーグループ,Stock,プライム（内国株式）,精密機器,TOPIX Small 1
8051.T,8051,山善,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8052.T,8052,椿本興業,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8053.T,8053,住友商事,Stock,プライム（内国株式）,卸売業,TOPIX Large70
8056.T,8056,ＢＩＰＲＯＧＹ,Stock,プライム（内国株式）,情報・通信業,TOPIX Mid400
8057.T,8057,内田洋行,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8058.T,8058,三菱商事,Stock,プライム（内国株式）,卸売業,TOPIX Core30
8059.T,8059,第一実業,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8060.T,8060,キヤノンマーケティングジャパン,Stock,プライム（内国株式）,卸売業,TOPIX Mid400
8061.T,8061,西華産業,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8065.T,8065,佐藤商事,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8070.T,8070,東京産業,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8074.T,8074,ユアサ商事,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8075.T,8075,神鋼商事,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8078.T,8078,阪和興業,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8079.T,8079,正栄食品工業,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8081.T,8081,カナデン,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8084.T,8084,ＲＹＯＤＥＮ,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8086.T,8086,ニプロ,Stock,プライム（内国株式）,精密機器,TOPIX Mid400
8088.T,8088,岩谷産業,Stock,プライム（内国株式）,卸売業,TOPIX Mid400
8093.T,8093,極東貿易,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8095.T,8095,アステナホールディングス,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8097.T,8097,三愛オブリ,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8098.T,8098,稲畑産業,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8101.T,8101,ＧＳＩクレオス,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8103.T,8103,明和産業,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8111.T,8111,ゴールドウイン,Stock,プライム（内国株式）,繊維製品,TOPIX Mid400
8113.T,8113,ユニ・チャーム,Stock,プライム（内国株式）,化学,TOPIX Large70
8125.T,8125,ワキタ,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8129.T,8129,東邦ホールディングス,Stock,プライム（内国株式）,卸売業,TOPIX Mid400
8130.T,8130,サンゲツ,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8131.T,8131,ミツウロコグループホールディングス,Stock,スタンダード（内国株式）,卸売業,TOPIX Small 2
8132.T,8132,シナネンホールディングス,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8133.T,8133,伊藤忠エネクス,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8136.T,8136,サンリオ,Stock,プライム（内国株式）,卸売業,TOPIX Mid400
8137.T,8137,サンワテクノス,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8141.T,8141,新光商事,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8142.T,8142,トーホー,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8150.T,8150,三信電気,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8151.T,8151,東陽テクニカ,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8153.T,8153,モスフードサービス,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8154.T,8154,加賀電子,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
8157.T,8157,都築電気,Stock,プライム（内国株式）,情報・通信業,TOPIX Small 2
8158.T,8158,ソーダニッカ,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8159.T,8159,立花エレテック,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
8160.T,8160,木曽路,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8163.T,8163,ＳＲＳホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Small 2
8165.T,8165,千趣会,Stock,スタンダード（内国株式）,小売業,TOPIX Small 2
8167.T,8167,リテールパートナーズ,Stock,プライム（内国株式）,小売業,TOPIX Small 2
8173.T,8173,上新電機,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8174.T,8174,日本瓦斯,Stock,プライム（内国株式）,小売業,TOPIX Mid400
8179.T,8179,ロイヤルホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8185.T,8185,チヨダ,Stock,プライム（内国株式）,小売業,TOPIX Small 2
8194.T,8194,ライフコーポレーション,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8200.T,8200,リンガーハット,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8203.T,8203,ＭｒＭａｘＨＤ,Stock,プライム（内国株式）,小売業,TOPIX Small 2
8214.T,8214,ＡＯＫＩホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8217.T,8217,オークワ,Stock,プライム（内国株式）,小売業,TOPIX Small 2
8218.T,8218,コメリ,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8219.T,8219,青山商事,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8227.T,8227,しまむら,Stock,プライム（内国株式）,小売業,TOPIX Mid400
8233.T,8233,高島屋,Stock,プライム（内国株式）,小売業,TOPIX Mid400
8237.T,8237,松屋,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8242.T,8242,エイチ・ツー・オー　リテイリング,Stock,プライム（内国株式）,小売業,TOPIX Mid400
8244.T,8244,近鉄百貨店,Stock,スタンダード（内国株式）,小売業,TOPIX Small 2
8252.T,8252,丸井グループ,Stock,プライム（内国株式）,小売業,TOPIX Mid400
8253.T,8253,クレディセゾン,Stock,プライム（内国株式）,その他金融業,TOPIX Mid400
8255.T,8255,アクシアル　リテイリング,Stock,プライム（内国株式）,小売業,TOPIX Small 2
8267.T,8267,イオン,Stock,プライム（内国株式）,小売業,TOPIX Large70
8273.T,8273,イズミ,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8275.T,8275,フォーバル,Stock,スタンダード（内国株式）,卸売業,TOPIX Small 2
8276.T,8276,平和堂,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8278.T,8278,フジ,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8281.T,8281,ゼビオホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Small 1
8282.T,8282,ケーズホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Mid400
8283.T,8283,ＰＡＬＴＡＣ,Stock,プライム（内国株式）,卸売業,TOPIX Mid400
8285.T,8285,三谷産業,Stock,スタンダード（内国株式）,卸売業,TOPIX Small 2
8304.T,8304,あおぞら銀行,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
8306.T,8306,三菱ＵＦＪフィナンシャル・グループ,Stock,プライム（内国株式）,銀行業,TOPIX Core30
8308.T,8308,りそなホールディングス,Stock,プライム（内国株式）,銀行業,TOPIX Large70
8309.T,8309,三井住友トラストグループ,Stock,プライム（内国株式）,銀行業,TOPIX Large70
8316.T,8316,三井住友フィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Core30
8331.T,8331,千葉銀行,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
8334.T,8334,群馬銀行,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
8336.T,8336,武蔵野銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8337.T,8337,千葉興業銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8338.T,8338,筑波銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8341.T,8341,七十七銀行,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
8343.T,8343,秋田銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8344.T,8344,山形銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8345.T,8345,岩手銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8346.T,8346,東邦銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8354.T,8354,ふくおかフィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
8358.T,8358,スルガ銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8359.T,8359,八十二銀行,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
8360.T,8360,山梨中央銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8361.T,8361,大垣共立銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8362.T,8362,福井銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8364.T,8364,清水銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8366.T,8366,滋賀銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8367.T,8367,南都銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8368.T,8368,百五銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8370.T,8370,紀陽銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8377.T,8377,ほくほくフィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
8381.T,8381,山陰合同銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8386.T,8386,百十四銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8387.T,8387,四国銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8388.T,8388,阿波銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8392.T,8392,大分銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8393.T,8393,宮崎銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8395.T,8395,佐賀銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8399.T,8399,琉球銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8410.T,8410,セブン銀行,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
8411.T,8411,みずほフィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Core30
8418.T,8418,山口フィナンシャルグループ,Stock,プライム（内国株式）,銀行業,TOPIX Mid400
8424.T,8424,芙蓉総合リース,Stock,プライム（内国株式）,その他金融業,TOPIX Mid400
8425.T,8425,みずほリース,Stock,プライム（内国株式）,その他金融業,TOPIX Small 1
8439.T,8439,東京センチュリー,Stock,プライム（内国株式）,その他金融業,TOPIX Mid400
8473.T,8473,ＳＢＩホールディングス,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Mid400
8511.T,8511,日本証券金融,Stock,プライム（内国株式）,その他金融業,TOPIX Small 1
8515.T,8515,アイフル,Stock,プライム（内国株式）,その他金融業,TOPIX Small 1
8522.T,8522,名古屋銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8524.T,8524,北洋銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8541.T,8541,愛媛銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8544.T,8544,京葉銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8550.T,8550,栃木銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8551.T,8551,北日本銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8558.T,8558,東和銀行,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8566.T,8566,リコーリース,Stock,プライム（内国株式）,その他金融業,TOPIX Small 1
8570.T,8570,イオンフィナンシャルサービス,Stock,プライム（内国株式）,その他金融業,TOPIX Mid400
8572.T,8572,アコム,Stock,スタンダード（内国株式）,その他金融業,TOPIX Mid400
8584.T,8584,ジャックス,Stock,プライム（内国株式）,その他金融業,TOPIX Small 1
8585.T,8585,オリエントコーポレーション,Stock,プライム（内国株式）,その他金融業,TOPIX Small 1
8591.T,8591,オリックス,Stock,プライム（内国株式）,その他金融業,TOPIX Large70
8593.T,8593,三菱ＨＣキャピタル,Stock,プライム（内国株式）,その他金融業,TOPIX Mid400
8595.T,8595,ジャフコ　グループ,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Mid400
8600.T,8600,トモニホールディングス,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8601.T,8601,大和証券グループ本社,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Mid400
8604.T,8604,野村ホールディングス,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Large70
8609.T,8609,岡三証券グループ,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 1
8613.T,8613,丸三証券,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 1
8614.T,8614,東洋証券,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 2
8616.T,8616,東海東京フィナンシャル・ホールディングス,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 1
8622.T,8622,水戸証券,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 2
8624.T,8624,いちよし証券,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 2
8628.T,8628,松井証券,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 1
8630.T,8630,ＳＯＭＰＯホールディングス,Stock,プライム（内国株式）,保険業,TOPIX Large70
8697.T,8697,日本取引所グループ,Stock,プライム（内国株式）,その他金融業,TOPIX Large70
8698.T,8698,マネックスグループ,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 1
8706.T,8706,極東証券,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 1
8707.T,8707,岩井コスモホールディングス,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 1
8708.T,8708,アイザワ証券グループ,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 2
8713.T,8713,フィデアホールディングス,Stock,プライム（内国株式）,銀行業,TOPIX Small 2
8714.T,8714,池田泉州ホールディングス,Stock,プライム（内国株式）,銀行業,TOPIX Small 1
8715.T,8715,アニコム　ホールディングス,Stock,プライム（内国株式）,保険業,TOPIX Small 1
8725.T,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,Stock,プライム（内国株式）,保険業,TOPIX Large70
8729.T,8729,ソニーフィナンシャルグループ,Stock,プライム（内国株式）,保険業,TOPIX Core30
8739.T,8739,スパークス・グループ,Stock,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 2
8750.T,8750,第一生命ホールディングス,Stock,プライム（内国株式）,保険業,TOPIX Large70
8766.T,8766,東京海上ホールディングス,Stock,プライム（内国株式）,保険業,TOPIX Core30
8771.T,8771,イー・ギャランティ,Stock,プライム（内国株式）,その他金融業,TOPIX Small 1
8793.T,8793,ＮＥＣキャピタルソリューション,Stock,プライム（内国株式）,その他金融業,TOPIX Small 2
8795.T,8795,Ｔ＆Ｄホールディングス,Stock,プライム（内国株式）,保険業,TOPIX Mid400
8798.T,8798,アドバンスクリエイト,Stock,プライム（内国株式）,保険業,TOPIX Small 2
8801.T,8801,三井不動産,Stock,プライム（内国株式）,不動産業,TOPIX Large70
8802.T,8802,三菱地所,Stock,プライム（内国株式）,不動産業,TOPIX Large70
8803.T,8803,平和不動産,Stock,プライム（内国株式）,不動産業,TOPIX Small 1
8804.T,8804,東京建物,Stock,プライム（内国株式）,不動産業,TOPIX Mid400
8818.T,8818,京阪神ビルディング,Stock,プライム（内国株式）,不動産業,TOPIX Small 2
8830.T,8830,住友不動産,Stock,プライム（内国株式）,不動産業,TOPIX Large70
8841.T,8841,テーオーシー,Stock,スタンダード（内国株式）,不動産業,TOPIX Small 2
8848.T,8848,レオパレス２１,Stock,プライム（内国株式）,不動産業,TOPIX Small 1
8850.T,8850,スターツコーポレーション,Stock,プライム（内国株式）,不動産業,TOPIX Small 1
8860.T,8860,フジ住宅,Stock,プライム（内国株式）,不動産業,TOPIX Small 2
8864.T,8864,空港施設,Stock,プライム（内国株式）,不動産業,TOPIX Small 2
8869.T,8869,明和地所,Stock,スタンダード（内国株式）,不動産業,TOPIX Small 2
8871.T,8871,ゴールドクレスト,Stock,スタンダード（内国株式）,不動産業,TOPIX Small 1
8876.T,8876,リログループ,Stock,プライム（内国株式）,サービス業,TOPIX Mid400
8877.T,8877,エスリード,Stock,プライム（内国株式）,不動産業,TOPIX Small 2
8881.T,8881,日神グループホールディングス,Stock,プライム（内国株式）,不動産業,TOPIX Small 2
8892.T,8892,エスコン,Stock,プライム（内国株式）,不動産業,TOPIX Small 1
8897.T,8897,ＭＩＲＡＲＴＨホールディングス,Stock,プライム（内国株式）,不動産業,TOPIX Small 1
8918.T,8918,ランド,Stock,スタンダード（内国株式）,不動産業,TOPIX Small 2
8919.T,8919,カチタス,Stock,プライム（内国株式）,不動産業,TOPIX Small 1
8920.T,8920,東祥,Stock,スタンダード（内国株式）,サービス業,TOPIX Small 2
8923.T,8923,トーセイ,Stock,プライム（内国株式）,不動産業,TOPIX Small 1
8934.T,8934,サンフロンティア不動産,Stock,プライム（内国株式）,不動産業,TOPIX Small 1
8935.T,8935,ＦＪネクストホールディングス,Stock,プライム（内国株式）,不動産業,TOPIX Small 2
8999.T,8999,グランディハウス,Stock,プライム（内国株式）,不動産業,TOPIX Small 2
9001.T,9001,東武鉄道,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9003.T,9003,相鉄ホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9005.T,9005,東急,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9006.T,9006,京浜急行電鉄,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9007.T,9007,小田急電鉄,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9008.T,9008,京王電鉄,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9009.T,9009,京成電鉄,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9010.T,9010,富士急行,Stock,プライム（内国株式）,陸運業,TOPIX Small 1
9020.T,9020,東日本旅客鉄道,Stock,プライム（内国株式）,陸運業,TOPIX Large70
9021.T,9021,西日本旅客鉄道,Stock,プライム（内国株式）,陸運業,TOPIX Large70
9022.T,9022,東海旅客鉄道,Stock,プライム（内国株式）,陸運業,TOPIX Large70
9023.T,9023,東京地下鉄,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9024.T,9024,西武ホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9025.T,9025,鴻池運輸,Stock,プライム（内国株式）,陸運業,TOPIX Small 1
9031.T,9031,西日本鉄道,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9037.T,9037,ハマキョウレックス,Stock,プライム（内国株式）,陸運業,TOPIX Small 1
9039.T,9039,サカイ引越センター,Stock,プライム（内国株式）,陸運業,TOPIX Small 1
9041.T,9041,近鉄グループホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9042.T,9042,阪急阪神ホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9044.T,9044,南海電気鉄道,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9045.T,9045,京阪ホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9046.T,9046,神戸電鉄,Stock,プライム（内国株式）,陸運業,TOPIX Small 2
9048.T,9048,名古屋鉄道,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9052.T,9052,山陽電気鉄道,Stock,プライム（内国株式）,陸運業,TOPIX Small 2
9064.T,9064,ヤマトホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9065.T,9065,山九,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9068.T,9068,丸全昭和運輸,Stock,プライム（内国株式）,陸運業,TOPIX Small 1
9069.T,9069,センコーグループホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9072.T,9072,ニッコンホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9075.T,9075,福山通運,Stock,プライム（内国株式）,陸運業,TOPIX Small 1
9076.T,9076,セイノーホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9081.T,9081,神奈川中央交通,Stock,プライム（内国株式）,陸運業,TOPIX Small 2
9090.T,9090,ＡＺ－ＣＯＭ丸和ホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Small 1
9101.T,9101,日本郵船,Stock,プライム（内国株式）,海運業,TOPIX Large70
9104.T,9104,商船三井,Stock,プライム（内国株式）,海運業,TOPIX Large70
9107.T,9107,川崎汽船,Stock,プライム（内国株式）,海運業,TOPIX Mid400
9110.T,9110,ＮＳユナイテッド海運,Stock,プライム（内国株式）,海運業,TOPIX Small 1
9119.T,9119,飯野海運,Stock,プライム（内国株式）,海運業,TOPIX Small 1
9142.T,9142,九州旅客鉄道,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9143.T,9143,ＳＧホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9147.T,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,Stock,プライム（内国株式）,陸運業,TOPIX Mid400
9201.T,9201,日本航空,Stock,プライム（内国株式）,空運業,TOPIX Mid400
9202.T,9202,ＡＮＡホールディングス,Stock,プライム（内国株式）,空運業,TOPIX Large70
9216.T,9216,ビーウィズ,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
9229.T,9229,サンウェルズ,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
9247.T,9247,ＴＲＥホールディングス,Stock,プライム（内国株式）,サービス業,TOPIX Small 1
9248.T,9248,人・夢・技術グループ,Stock,スタンダード（内国株式）,サービス業,TOPIX Small 2
9262.T,9262,シルバーライフ,Stock,スタンダード（内国株式）,小売業,TOPIX Small 2
9267.T,9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,Stock,プライム（内国株式）,小売業,TOPIX Small 1
9273.T,9273,コーア商事ホールディングス,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
9274.T,9274,ＫＰＰグループホールディングス,Stock,プライム（内国株式）,卸売業,TOPIX Small 1
9278.T,9278,ブックオフグループホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Small 2
9279.T,9279,ギフトホールディングス,Stock,プライム（内国株式）,小売業,TOPIX Small 2
9301.T,9301,三菱倉庫,Stock,プライム（内国株式）,倉庫・運輸関連業,TOPIX Mid400
9302.T,9302,三井倉庫ホールディングス,Stock,プライム（内国株式）,倉庫・運輸関連業,TOPIX Mid400
9303.T,9303,住友倉庫,Stock,プライム（内国株式）,倉庫・運輸関連業,TOPIX Small 1
9304.T,9304,澁澤倉庫,Stock,プライム（内国株式）,倉庫・運輸関連業,TOPIX Small 2
9305.T,9305,ヤマタネ,Stock,プライム（内国株式）,卸売業,TOPIX Small 2
9308.T,9308,乾汽船,Stock,スタンダード（内国株式）,海運業,TOPIX Small 2
9310.T,9310,日本トランスシティ,Stock,プライム（内国株式）,倉庫・運輸関連業,TOPIX Small 2
9319.T,9319,中央倉庫,Stock,プライム（内国株式）,倉庫・運輸関連業,TOPIX Small 2
9324.T,9324,安田倉庫,Stock,プライム（内国株式）,倉庫・運輸関連業,TOPIX Small 2
9332.T,9332,ＮＩＳＳＯホールディングス,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
9336.T,9336,大栄環境,Stock,プライム（内国株式）,サービス業,TOPIX Small 1
9341.T,9341,ＧＥＮＯＶＡ,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
9347.T,9347,日本管財ホールディングス,Stock,プライム（内国株式）,サービス業,TOPIX Small 2
9364.T,9364,上組,Stock,プライム（内国株式）,倉庫・運輸関連業,TOPIX Mid400
9369.T,9369,キユーソー流通システム,Stock,スタンダード（内国株式）,倉庫・運輸関連業,TOPIX Small 2
9381.T,9381,エーアイテイー,Stock,プライム（内国株式）,倉庫・運輸関連業,TOPIX Small 2
9401.T,9401,ＴＢＳホールディングス,Stock,プライム（内国株式）,情報・通信業,TOPIX Mid400
9404.T,9404,日本テレビホールディングス,Stock,プライム（内国株式）,情報・通信業,TOPIX Mid400
9405.T,9405,朝日放送グループホールディングス,Stock,プライム（内国株式）,情報・通信業,TOPIX Small 2
9409.T,9409,テレビ朝日ホールディングス,Stock,プライム（内国株式）,情報・通信業,TOPIX Small 1
9412.T,9412,スカパーＪＳＡＴホールディングス,Stock,プライム（内国株式）,情報・通信業,TOPIX Small 1
9413.T,9413,テレビ東京ホールディングス,Stock,プライム（内国株式）,情報・通信業,TOPIX Small 1
9416.T,9416,ビジョン,Stock,プライム（内国株式）,情報・通信業,TOPIX Small 1
